"","본인","배우자","모","부","시모","시부","조모","조부","장남","장녀","차남","차녀","삼남","삼녀","사남","사녀","오녀","손자1","손자2","손자3","손자4","손녀1","손녀2","손녀3","손녀4","손녀5",""
"금융위원회한국산업은행|회장|이동걸","5776876","-177759","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민권익위원회|위원장|성영훈","2734075","496897","654147","352610","0","0","0","0","0","49858","0","11571","0","10323","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민권익위원회|부위원장겸사무처장|김인수","272967","28998","9418","0","0","0","0","0","0","2282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민권익위원회|부위원장|박경호","2373431","941248","0","0","0","0","0","0","38586","10548","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민권익위원회|부위원장|이상민","1573578","930511","51952","0","0","0","0","0","33035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민권익위원회|상임위원|김대희","527183","49531","155105","0","0","0","0","0","12329","7247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민권익위원회|상임위원|박창수","-281592","291133","0","0","0","0","0","0","21484","101982","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민권익위원회|상임위원|소기홍","614683","61491","0","0","0","0","0","0","9348","0","11197","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민권익위원회|상임위원|신근호","362910","37606","22058","0","0","0","0","0","532","0","2315","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국민권익위원회|기획조정실장|권태성","-188329","834462","0","0","0","0","0","0","3727","3869","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"원자력안전위원회|위원장|김용환","1365437","169414","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"원자력안전위원회|사무처장|최종배","507078","280605","0","0","0","0","0","0","11601","0","12607","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"원자력안전위원회한국원자력통제기술원|원장|손재영","446491","402699","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"기획재정부|부총리겸장관|유일호","906977","-148609","0","0","0","0","0","0","-9398","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"기획재정부|제1차관|최상목","410548","1116083","130546","0","0","0","0","0","41876","14537","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"기획재정부|제2차관|송언석","1022178","2285154","0","0","0","0","0","0","0","162385","0","70204","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"기획재정부|차관보|이찬우","826782","149291","0","0","0","0","0","0","39842","31229","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"기획재정부|국제경제관리관|송인창","1155157","1095775","0","0","0","0","0","0","35989","81929","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"기획재정부|기획조정실장|고형권","1023875","404871","0","0","0","0","0","0","0","0","0","5419","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"기획재정부|예산실장|박춘섭","859697","228844","0","0","0","0","0","0","13813","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"기획재정부|세제실장|최영록","1269097","273201","0","36748","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"기획재정부|지역발전기획단장|송병선","113097","364563","-63277","0","0","0","0","0","355","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"기획재정부|민관합동창조경제추진단장|조봉환","744710","13485","0","0","0","0","0","0","105","169","0","679","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"기획재정부한국조폐공사|사장|김화동","499132","39492","0","0","0","0","0","0","0","32416","0","56798","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"기획재정부한국조폐공사|상임감사|안광복","1114042","2291533","6768","343158","0","0","0","0","188204","64038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
